               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.039145,            0.036437,                   0,             0.80775,             0.67932,             0.77752,             0.50973,            0.036425,            0.025175,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.039086,            0.036321,                   0,             0.80779,             0.67848,             0.77779,             0.51065,            0.036375,            0.025138,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.039106,            0.036277,                   0,             0.80506,             0.68173,             0.77847,             0.51123,            0.036328,            0.025103,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.038935,            0.036214,                   0,             0.80573,             0.68349,             0.77879,              0.5121,            0.036278,            0.025068,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.038974,            0.036284,                   0,             0.80823,             0.68312,             0.77993,              0.5129,             0.03623,            0.025036,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.038901,            0.036032,                   0,             0.81011,              0.6821,             0.77971,             0.51376,            0.036179,            0.025003,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.038782,            0.036056,                   0,             0.80954,             0.68173,             0.78022,             0.51502,            0.036132,            0.024973,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.038613,            0.035884,                   0,             0.80787,             0.68359,             0.78069,             0.51576,            0.036087,            0.024942,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.03857,            0.035885,                   0,             0.81039,             0.68331,             0.78147,             0.51672,            0.036044,            0.024911,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.038646,            0.036102,                   0,             0.81243,             0.68406,             0.78243,             0.51761,            0.036005,            0.024884,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.038473,            0.035889,                   0,             0.80917,             0.68618,             0.78312,             0.51798,            0.035963,            0.024862,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.038435,            0.035616,                   0,             0.81189,             0.68524,               0.784,             0.51876,            0.035919,            0.024841,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.038269,            0.035741,                   0,             0.81505,             0.68414,             0.78483,              0.5191,            0.035872,            0.024818,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.038221,            0.035654,                   0,             0.81631,             0.68368,             0.78523,             0.51951,            0.035833,            0.024797,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.038162,            0.035686,                   0,              0.8189,             0.68303,             0.78539,             0.52065,            0.035796,            0.024776,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.038138,            0.035411,                   0,              0.8184,             0.68243,              0.7856,             0.52123,            0.035756,            0.024755,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.037958,            0.035395,                   0,             0.81694,             0.68349,             0.78633,             0.52178,            0.035721,            0.024738,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.037906,            0.035188,                   0,             0.81728,             0.68398,             0.78636,             0.52256,            0.035685,            0.024719,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.037843,            0.035015,                   0,             0.82125,             0.68266,              0.7868,             0.52276,            0.035647,              0.0247,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.037678,            0.035055,                   0,             0.82038,             0.68317,             0.78726,             0.52324,            0.035618,            0.024684,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.03759,            0.035188,                   0,             0.82077,             0.68294,             0.78779,             0.52379,            0.035587,            0.024667,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.037494,            0.034896,                   0,             0.82336,             0.68331,             0.78823,             0.52489,            0.035555,            0.024652,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.037442,            0.034733,                   0,             0.82112,             0.68553,             0.78892,             0.52552,            0.035524,            0.024637,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.037348,            0.034779,                   0,             0.81843,             0.68785,             0.78948,             0.52597,            0.035494,            0.024621,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.037184,            0.034787,                   0,             0.82767,             0.68228,             0.78978,             0.52627,            0.035462,            0.024605,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.037048,            0.034475,                   0,             0.82507,             0.68363,             0.78987,             0.52697,            0.035433,            0.024587,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.036935,            0.034401,                   0,             0.82394,             0.68451,             0.79031,             0.52776,            0.035404,            0.024569,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.036897,            0.034313,                   0,             0.82148,               0.686,             0.79048,             0.52817,            0.035378,            0.024554,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.036825,             0.03425,                   0,             0.81948,             0.68776,             0.79051,             0.52861,            0.035357,            0.024541,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.03668,            0.034036,                   0,             0.82353,             0.68655,             0.79095,             0.52928,            0.035336,            0.024529,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.03666,            0.034195,                   0,              0.8244,             0.68609,             0.79126,             0.52997,            0.035312,            0.024516,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.036432,            0.033786,                   0,             0.82396,             0.68609,             0.79171,             0.53075,             0.03529,            0.024506,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.036318,            0.033934,                   0,             0.82513,             0.68519,             0.79185,             0.53083,            0.035268,            0.024498,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.036127,            0.033708,                   0,             0.82367,               0.686,             0.79202,             0.53139,            0.035246,             0.02449,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.036185,            0.033723,                   0,             0.82381,             0.68665,             0.79214,             0.53188,            0.035225,            0.024481,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.03594,            0.033422,                   0,             0.82283,              0.6872,              0.7925,             0.53219,            0.035205,            0.024473,                   0,            0.000298,            0.000298,            0.000298
